hostname,time,cpuutilisation,cpuiowait,cpucontextswitches,memoryavailable,diskreadcount,diskwritecount,diskreadtime,diskwritetime,networkopenconnections,networkreceiveerrors
exiluser-VirtualBox,2019-04-09 12:01:31,7.9,18.66,4566884,5950615552,87598,68040,82776,314848,31,0
exiluser-VirtualBox,2019-04-09 12:01:34,7.4,18.66,4568982,5949476864,87598,68040,82776,314848,31,0
exiluser-VirtualBox,2019-04-09 12:01:37,2.1,18.66,4571085,5948952576,87598,68042,82776,314848,31,0
exiluser-VirtualBox,2019-04-09 12:01:41,3.6,18.66,4572615,5948841984,87598,68046,82776,314848,31,0
exiluser-VirtualBox,2019-04-09 12:01:44,3.0,18.66,4574190,5953413120,87598,68047,82776,314848,31,0
exiluser-VirtualBox,2019-04-09 12:01:47,1.0,18.67,4575534,5953921024,87598,68049,82776,314848,31,0
exiluser-VirtualBox,2019-04-09 12:01:50,1.0,18.67,4576679,5953921024,87598,68049,82776,314848,31,0
exiluser-VirtualBox,2019-04-09 12:01:53,0.0,18.67,4577689,5953929216,87598,68051,82776,314852,31,0
exiluser-VirtualBox,2019-04-09 12:01:56,0.5,18.67,4578751,5953929216,87598,68051,82776,314852,31,0
exiluser-VirtualBox,2019-04-09 12:01:59,0.5,18.67,4579711,5953929216,87598,68053,82776,314852,31,0
exiluser-VirtualBox,2019-04-09 12:02:02,1.0,18.67,4580804,5953945600,87598,68053,82776,314852,31,0
exiluser-VirtualBox,2019-04-09 12:02:05,0.5,18.67,4581866,5953949696,87598,68073,82776,314856,31,0
exiluser-VirtualBox,2019-04-09 12:02:08,0.5,18.67,4582539,5953949696,87598,68073,82776,314856,31,0
exiluser-VirtualBox,2019-04-09 12:02:11,1.0,18.68,4583302,5953949696,87598,68075,82776,314860,31,0
exiluser-VirtualBox,2019-04-09 12:02:14,0.0,18.68,4583970,5953949696,87598,68075,82776,314860,31,0
exiluser-VirtualBox,2019-04-09 12:02:17,1.0,18.68,4584666,5953949696,87598,68077,82776,314860,31,0
exiluser-VirtualBox,2019-04-09 12:02:20,0.5,18.68,4585719,5953949696,87598,68077,82776,314860,31,0
exiluser-VirtualBox,2019-04-09 12:02:23,1.0,18.68,4586423,5953949696,87598,68079,82776,314860,31,0
exiluser-VirtualBox,2019-04-09 12:02:26,0.5,18.68,4587118,5953982464,87598,68079,82776,314860,31,0
exiluser-VirtualBox,2019-04-09 12:02:29,0.5,18.68,4587861,5953982464,87598,68081,82776,314864,31,0
exiluser-VirtualBox,2019-04-09 12:02:32,1.0,18.68,4588594,5953990656,87598,68081,82776,314864,31,0
exiluser-VirtualBox,2019-04-09 12:02:35,2.5,18.69,4589967,5956030464,87598,68083,82776,314864,31,0
exiluser-VirtualBox,2019-04-09 12:02:38,1.0,18.69,4590991,5956034560,87598,68083,82776,314864,31,0
exiluser-VirtualBox,2019-04-09 12:02:41,0.0,18.69,4591748,5956034560,87598,68089,82776,314864,31,0
exiluser-VirtualBox,2019-04-09 12:02:44,4.6,18.69,4593225,5955756032,87598,68089,82776,314864,31,0
exiluser-VirtualBox,2019-04-09 12:02:47,1.0,18.69,4594291,5955788800,87598,68091,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:02:50,4.6,18.69,4595485,5955526656,87598,68091,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:02:53,0.5,18.69,4596307,5955543040,87598,68093,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:02:56,4.5,18.69,4598092,5955424256,87598,68093,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:02:59,1.5,18.69,4599262,5955424256,87598,68095,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:03:02,0.5,18.69,4600082,5955424256,87598,68095,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:03:05,1.5,18.7,4600870,5955432448,87598,68097,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:03:08,1.0,18.7,4601569,5955432448,87598,68097,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:03:11,0.5,18.7,4602684,5955452928,87598,68102,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:03:14,0.5,18.7,4603348,5955452928,87598,68102,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:03:17,0.5,18.7,4604039,5955452928,87598,68103,82776,314868,31,0
exiluser-VirtualBox,2019-04-09 12:03:20,0.5,18.7,4605094,5955452928,87598,68105,82776,314872,31,0
exiluser-VirtualBox,2019-04-09 12:03:23,0.5,18.7,4605800,5955452928,87598,68107,82776,314872,31,0
exiluser-VirtualBox,2019-04-09 12:03:26,1.0,18.7,4606476,5955452928,87598,68107,82776,314872,31,0
exiluser-VirtualBox,2019-04-09 12:03:29,0.5,18.7,4607583,5955452928,87598,68108,82776,314872,31,0
exiluser-VirtualBox,2019-04-09 12:03:32,0.5,18.7,4608637,5955325952,87598,68109,82776,314872,31,0
exiluser-VirtualBox,2019-04-09 12:03:35,2.5,18.7,4610226,5955223552,87598,68111,82776,314872,31,0
exiluser-VirtualBox,2019-04-09 12:03:38,0.5,18.7,4611397,5955178496,87598,68156,82776,314876,31,0
exiluser-VirtualBox,2019-04-09 12:03:41,0.5,18.7,4612165,5955174400,87598,68156,82776,314876,31,0
exiluser-VirtualBox,2019-04-09 12:03:44,0.5,18.7,4612885,5955186688,87598,68158,82776,314876,31,0
exiluser-VirtualBox,2019-04-09 12:03:47,0.5,18.7,4613852,5955186688,87598,68160,82776,314880,31,0
exiluser-VirtualBox,2019-04-09 12:03:50,0.5,18.7,4614564,5955194880,87598,68160,82776,314880,31,0
exiluser-VirtualBox,2019-04-09 12:03:53,0.5,18.71,4615513,5955194880,87598,68162,82776,314884,31,0
exiluser-VirtualBox,2019-04-09 12:03:56,0.5,18.71,4616230,5955194880,87598,68162,82776,314884,31,0
exiluser-VirtualBox,2019-04-09 12:03:59,1.0,18.71,4617287,5955203072,87598,68164,82776,314888,31,0
